tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns044d	ns044	ns044d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	284.1	l	29.3	1	1	0	0
This study	North Shore Volcanics	ns044f	ns044	ns044f2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	287.8	l	26.2	1	1	0	0
This study	North Shore Volcanics	ns046a	ns046	ns046a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	292.9	l	32.1	1	1	0	0
This study	North Shore Volcanics	ns049g	ns049	ns049g1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	304.1	l	45.4	1	1	0	0
This study	North Shore Volcanics	ns050b	ns050	ns050b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	298	l	30.9	1	1	0	0
This study	North Shore Volcanics	ns052b	ns052	ns052b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	295.7	l	36.1	1	1	0	0
This study	North Shore Volcanics	ns053a	ns053	ns053a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	299.1	l	23.9	1	1	0	0
This study	North Shore Volcanics	ns054a	ns054	ns054a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.3	l	40.4	1	1	0	0
This study	North Shore Volcanics	ns055a	ns055	ns055a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	283.9	l	17.6	1	1	0	0
This study	North Shore Volcanics	ns055b	ns055	ns055b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	281.9	l	19.8	1	1	0	0
This study	North Shore Volcanics	ns055c	ns055	ns055c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	280.9	l	20.7	1	1	0	0
This study	North Shore Volcanics	ns055e	ns055	ns055e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	285.3	l	14	1	1	0	0
This study	North Shore Volcanics	ns055g	ns055	ns055g1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.2	l	16.4	1	1	0	0
This study	North Shore Volcanics	ns056a	ns056	ns056a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	292.3	l	22.3	1	1	0	0
This study	North Shore Volcanics	ns058f	ns058	ns058f1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	297.1	l	34	1	1	0	0
This study	North Shore Volcanics	ns059e	ns059	ns059e1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	291.8	l	29.4	1	1	0	0
This study	North Shore Volcanics	ns060a	ns060	ns060a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	292.3	l	32	1	1	0	0
This study	North Shore Volcanics	ns060b	ns060	ns060b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	299	l	34.3	1	1	0	0
This study	North Shore Volcanics	ns060c	ns060	ns060c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.1	l	16.9	1	1	0	0
This study	North Shore Volcanics	ns060f	ns060	ns060f1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.2	l	23.8	1	1	0	0
This study	North Shore Volcanics	ns062a	ns062	ns062a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	294.8	l	35.6	1	1	0	0
This study	North Shore Volcanics	ns064a	ns064	ns064a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	301.6	l	31.5	1	1	0	0
This study	North Shore Volcanics	ns065c	ns065	ns065c2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	288.9	l	20.6	1	1	0	0
