tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	342.68775677	-30.19332296	SI1-12.55-D:NRM_demag(T,Hac)0	2.25E-06	0.267	LP-DIR-AF:LT-AF-Z	756613	g	SI1-12.55-D	u	2011-08-06T19:05:05Z	0.08	300
This study	278.27505024	-73.83043703	SI1-13.0-D:NRM_demag(T,Hac)0	2.23E-07	0.467	LP-DIR-AF:LT-AF-Z	756614	g	SI1-13.0-D	u	2011-08-06T19:05:20Z	0.08	300
This study	328.12760757	-43.35441794	SI1-13.4-D:NRM_demag(T,Hac)0	3.73E-07	0.667	LP-DIR-AF:LT-AF-Z	756615	g	SI1-13.4-D	u	2011-08-06T19:05:36Z	0.08	300
This study	251.3774445	-82.58729893	SI1-14.2-D:NRM_demag(T,Hac)0	3.69E-07	0.867	LP-DIR-AF:LT-AF-Z	756616	g	SI1-14.2-D	u	2011-08-06T19:05:51Z	0.08	300
This study	352.628788141	-66.30695907	SI1-14.4-D:NRM_demag(T,Hac)0	3.79E-06	1.067	LP-DIR-AF:LT-AF-Z	756617	g	SI1-14.4-D	u	2011-08-06T19:06:06Z	0.08	300
This study	355.36400786	-37.03783792	SI1-14.9-D:NRM_demag(T,Hac)0	3.96E-06	1.267	LP-DIR-AF:LT-AF-Z	756618	g	SI1-14.9-D	u	2011-08-06T19:06:21Z	0.08	300
This study	3.65134318	-39.2317108	SI1-12.5-D:NRM_demag(T,Hac)0	1.99E-07	0.067	LP-DIR-AF:LT-AF-Z	756619	g	SI1-12.5-D	u	2011-08-06T19:11:26Z	0.1	300
This study	340.22890936	-31.8012372	SI1-12.55-D:NRM_demag(T,Hac)0	2.01E-06	0.267	LP-DIR-AF:LT-AF-Z	756620	g	SI1-12.55-D	u	2011-08-06T19:11:41Z	0.1	300
This study	213.3762374	-61.7663431	SI1-13.0-D:NRM_demag(T,Hac)0	1.95E-07	0.467	LP-DIR-AF:LT-AF-Z	756621	g	SI1-13.0-D	u	2011-08-06T19:11:56Z	0.1	300
This study	321.32485066	-47.09447156	SI1-13.4-D:NRM_demag(T,Hac)0	3.71E-07	0.667	LP-DIR-AF:LT-AF-Z	756622	g	SI1-13.4-D	u	2011-08-06T19:12:11Z	0.1	300
This study	333.53573232	-71.09984598	SI1-14.2-D:NRM_demag(T,Hac)0	3.30E-07	0.867	LP-DIR-AF:LT-AF-Z	756623	g	SI1-14.2-D	u	2011-08-06T19:12:26Z	0.1	300
This study	353.278753877	-65.48742637	SI1-14.4-D:NRM_demag(T,Hac)0	3.26E-06	1.067	LP-DIR-AF:LT-AF-Z	756624	g	SI1-14.4-D	u	2011-08-06T19:12:42Z	0.1	300
This study	355.020790503	-35.85358566	SI1-14.9-D:NRM_demag(T,Hac)0	3.53E-06	1.267	LP-DIR-AF:LT-AF-Z	756625	g	SI1-14.9-D	u	2011-08-06T19:12:57Z	0.1	300
This study	344.36132417	-31.54730148	SI1-12.5-D:NRM_demag(T,Hac)0	1.71E-07	0.067	LP-DIR-AF:LT-AF-Z	756626	g	SI1-12.5-D	u	2011-08-06T19:18:18Z	0.12	300
