tab 	pmag_results
average_age	average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_lat	average_lon	average_n	average_nn	er_citation_names	er_location_names	er_site_names	magic_method_codes	pmag_result_name	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	vgp_alpha95	vgp_lat	vgp_lon
1106	1110	1103	Ma	4.7	109.6	2116.8	-60.6	48.7490	-87.5955		7	This study	Simpson Island	SI4(133.8 to 143.1)	DE-FM:LP-DC4:LP-DIR-AF	SI4(133.8 to 143.1)	109.6	134.8	-60.6	-52.7		41.7	201.8
1106	1110	1103	Ma	4	151.1	2143.4	-62.4	48.7485	-87.5958		8	This study	Simpson Island	SI4(160.4 to 171.1)	DE-FM:LP-DC4:LP-DIR-AF	SI4(160.4 to 171.1)	151.1	163.7	-62.4	-46.6		69.5	179.1
1106	1110	1103	Ma	2.2	126.1	2336.0	-68.9	48.7466	-87.6194		8	This study	Simpson Island	SI8(0.0 to 3.9)	DE-FM:LP-DC4:LP-DIR-AF	SI8(0.0 to 3.9)	126.1	152.4	-68.9	-56.4		56.4	209.4
1106	1110	1103	Ma	5.3	123	2339.9	-71.6	48.7465	-87.6195		7	This study	Simpson Island	SI8(3.9 to 19.3)	DE-FM:LP-DC4:LP-DIR-AF	SI8(3.9 to 19.3)	123	153.2	-71.6	-59.3		55.6	217.1
1106	1110	1103	Ma	5.5	108.7	2355.3	-59.1	48.7462	-87.6200		8	This study	Simpson Island	SI8(19.3 to 45.0)	DE-FM:LP-DC4:LP-DIR-AF	SI8(19.3 to 45.0)	108.7	132.9	-59.1	-51.6		40.1	200.5
1106	1110	1103	Ma	5.6	121.2	2383.5	-64.4	48.7458	-87.6211		6	This study	Simpson Island	SI8(47.5 to 56.7)	DE-FM:LP-DC4:LP-DIR-AF	SI8(47.5 to 56.7)	121.2	145.6	-64.4	-53.4		51.2	201.6
1106	1110	1103	Ma	2.7	103.3	2398.9	-69.6	48.7456	-87.6223		8	This study	Simpson Island	SI8(62.9 to 84.4)	DE-FM:LP-DC4:LP-DIR-AF	SI8(62.9 to 84.4)	103.3	140.2	-69.6	-61.5		43.9	218.6
1106	1110	1103	Ma	4.3	80.9	2420.4	-66	48.7453	-87.6239		8	This study	Simpson Island	SI8(84.4 to 102.6)	DE-FM:LP-DC4:LP-DIR-AF	SI8(84.4 to 102.6)	80.9	121.2	-66	-64.7		29.5	223.4
1106	1110	1103	Ma	7.2	103.8	2442.6	-65.2	48.7449	-87.6276		8	This study	Simpson Island	SI8(106.6 to 115.4)	DE-FM:LP-DC4:LP-DIR-AF	SI8(106.6 to 115.4)	103.8	135.2	-65.2	-58		41.2	211.2
1106	1110	1103	Ma	6.1	103.2	2451.0	-63.3	48.7462	-87.6393		5	This study	Simpson Island	SI6(0.0 to 3.0)	DE-FM:LP-DC4:LP-DIR-AF	SI6(0.0 to 3.0)	103.2	137	-63.3	-55.3		39.5	208.7
1106	1110	1103	Ma	2.3	78.3	2463.0	-63	48.7460	-87.6394		8	This study	Simpson Island	SI6(12.0 to 28.4)	DE-FM:LP-DC4:LP-DIR-AF	SI6(12.0 to 28.4)	78.3	120.8	-63	-62.8		25.5	221.6
1106	1110	1103	Ma	5.3	95.2	2491.6	-65.3	48.7451	-87.6393		6	This study	Simpson Island	SI6(40.6 to 57.8)	DE-FM:LP-DC4:LP-DIR-AF	SI6(40.6 to 57.8)	95.2	134.8	-65.3	-59.1		36.5	215.5
1106	1110	1103	Ma	6	105.2	2527.5	-72.2	48.7448	-87.6486		7	This study	Simpson Island	SI6(76.5 to 94.1)	DE-FM:LP-DC4:LP-DIR-AF	SI6(76.5 to 94.1)	105.2	149.8	-72.2	-61.3		46.5	223.0
1106	1110	1103	Ma	3.8	103.4	2545.1	-78.6	48.7445	-87.6486		5	This study	Simpson Island	SI6(94.1 to 104.2)	DE-FM:LP-DC4:LP-DIR-AF	SI6(94.1 to 104.2)	103.4	160.6	-78.6	-65.4		49.0	238.8
1106	1110	1103	Ma	6.3	79.9	2573.3	-79.5	48.7439	-87.6493		7	This study	Simpson Island	SI6(122.3 to 127.6)	DE-FM:LP-DC4:LP-DIR-AF	SI6(122.3 to 127.6)	79.9	159	-79.5	-70		41.7	245.2
1106	1110	1103	Ma	4.6	75.3	2631.6	-53.3	48.7423	-87.6500		8	This study	Simpson Island	SI6(180.6 to 188.8)	DE-FM:LP-DC4:LP-DIR-AF	SI6(180.6 to 188.8)	75.3	105.6	-53.3	-56.6		16.2	215.6
1106	1110	1103	Ma	5.8	100.9	2659.4	-52	48.7415	-87.6483		5	This study	Simpson Island	SI6(208.4 to 219.9)	DE-FM:LP-DC4:LP-DIR-AF	SI6(208.4 to 219.9)	100.9	125.1	-52	-46.8		30.7	198.3
1106	1110	1103	Ma	4.9	108.3	2696.4	-55.3	48.7405	-87.6476		7	This study	Simpson Island	SI6(245.4 to 252.7)	DE-FM:LP-DC4:LP-DIR-AF	SI6(245.4 to 252.7)	108.3	133.1	-55.3	-47.3		37.5	196.6
1106	1110	1103	Ma	2.7	93.1	2719.4	-66.3	48.7399	-87.6467		8	This study	Simpson Island	SI6(268.4 to 289.5)	DE-FM:LP-DC4:LP-DIR-AF	SI6(268.4 to 289.5)	93.1	135	-66.3	-60.4		36.1	217.8
1106	1110	1103	Ma	5	101.7	2740.8	-61	48.7393	-87.6464		8	This study	Simpson Island	SI6(289.8 to 301.1)	DE-FM:LP-DC4:LP-DIR-AF	SI6(289.8 to 301.1)	101.7	133.7	-61	-54		37.1	206.7
1106	1110	1103	Ma	2.4	128.6	2798.0	-48.4	48.7406	-87.6682		8	This study	Simpson Island	SI7(0.0 to 3.9)	DE-FM:LP-DC4:LP-DIR-AF	SI7(0.0 to 3.9)	128.6	143.6	-48.4	-37.9		46.7	175.2
1106	1110	1103	Ma	9.2	132.8	2801.9	-53.6	48.7405	-87.6684		7	This study	Simpson Island	SI7(3.9 to 5.4)	DE-FM:LP-DC4:LP-DIR-AF	SI7(3.9 to 5.4)	132.8	149.4	-53.6	-41.7		52.4	177.4
1106	1110	1103	Ma	6.9	120.1	2807.6	-55.6	48.7403	-87.6684		7	This study	Simpson Island	SI7(9.6 to 18.0)	DE-FM:LP-DC4:LP-DIR-AF	SI7(9.6 to 18.0)	120.1	141.2	-55.6	-46.6		45.3	189.2
1106	1110	1103	Ma	4	111.9	2843.2	-57.1	48.7408	-87.6765		6	This study	Simpson Island	SI5b(3.2 to 30.7)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(3.2 to 30.7)	111.9	136.3	-57.1	-50		40.9	196.2
1106	1110	1103	Ma	5.6	97.9	2897.2	-42.5	48.7402	-87.6838		6	This study	Simpson Island	SI5b(57.2 to 63.3)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(57.2 to 63.3)	97.9	115.1	-42.5	-41.3		23.3	193.7
1106	1110	1103	Ma	6.1	99.2	2904.6	-50.4	48.7401	-87.6841		5	This study	Simpson Island	SI5b(64.6 to 70.4)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(64.6 to 70.4)	99.2	121.4	-50.4	-47.9		28.6	198.0
1106	1110	1103	Ma	3.5	97	2912.6	-49.4	48.7399	-87.6845		6	This study	Simpson Island	SI5b(72.6 to 79.0)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(72.6 to 79.0)	97	118.8	-49.4	-47.7		26.6	198.8
1106	1110	1103	Ma	2.3	114.7	2955.0	-56	48.7388	-87.6855		9	This study	Simpson Island	SI5b(115.0 to 120.2)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(115.0 to 120.2)	114.7	137.6	-56	-48.3		42.0	193.2
1106	1110	1103	Ma	4.6	103.5	2972.4	-60.9	48.7385	-87.6864		7	This study	Simpson Island	SI5b(132.4 to 171.9)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(132.4 to 171.9)	103.5	133.6	-60.9	-55.5		38.1	205.5
1106	1110	1103	Ma	3.5	116	3023.4	-61	48.7376	-87.6934		5	This study	Simpson Island	SI5b(183.4 to 188.7)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(183.4 to 188.7)	116	142.4	-61	-52.3		45.9	198.8
1106	1110	1103	Ma	4.2	98.7	3037.5	-70	48.7373	-87.6935		6	This study	Simpson Island	SI5b(197.5 to 216.7)	DE-FM:LP-DC4:LP-DIR-AF	SI5b(197.5 to 216.7)	98.7	142.5	-70	-63.7		41.8	221.0
1106	1110	1103	Ma	3.9	112.8	3115.0	-52.5	48.7363	-87.6962		12	This study	Simpson Island	SI5a(0.0 to 9.0)	DE-FM:LP-DC4:LP-DIR-AF	SI5a(0.0 to 9.0)	112.8	133.7	-52.5	-45.7		38.7	190.9
1109	1110	1103	Ma	3.4							30	This study	Simpson Island		DE-POLE	lower third SI pole	99.3		-68		4.8	40.9	218.6
1107	1110	1103	Ma	5.5							20	This study	Simpson Island		DE-POLE	middle third SI pole	105.9		-64.9		8.2	42.7	211.3
1105	1110	1103	Ma	3.5							34	This study	Simpson Island		DE-POLE	upper third SI pole	107.6		-61.6		4.8	41.6	205.4
1105	1107	1103	Ma								59	This study : Halls 1974			DE-POLE	upper Osler Group pole					3.7	42.5	201.6
