tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-11 16:37:55	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	3.4	309.9		g	-42.8	3.66E-05	2	1	1.36E-06	1.60E-06	7.51E-07	u	273	0	0	77
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-18 09:24:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	312.9		g	-43.1	3.65E-05	3	1	6.27E-07	5.44E-07	7.77E-07	u	273	0	0	373
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-18 16:39:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	315.8		g	-43.6	3.70E-05	4	1	5.44E-07	7.16E-07	7.96E-07	u	273	0	0	473
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-19 12:27:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	316.1		g	-43.5	3.44E-05	5	1	4.27E-07	7.11E-07	7.68E-07	u	273	0	0	573
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-25 12:02:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	315		g	-43.4	2.27E-05	6	1	3.96E-07	5.55E-07	5.55E-07	u	273	0	0	623
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-26 08:57:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	318.8		g	-44	1.83E-05	7	1	5.99E-07	3.16E-07	3.90E-07	u	273	0	0	673
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-26 16:27:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.5	314.7		g	-43.3	1.46E-05	8	1	4.56E-07	6.93E-07	3.48E-07	u	273	0	0	723
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-02 13:20:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	315.3		g	-43.6	1.22E-05	9	1	3.23E-07	1.67E-07	3.13E-07	u	273	0	0	748
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-02 19:43:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	318.2		g	-43.7	1.07E-05	10	1	2.98E-07	1.55E-07	2.28E-07	u	273	0	0	773
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-03 18:36:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	318.6		g	-43.8	9.10E-06	11	1	2.58E-07	1.26E-07	1.88E-07	u	273	0	0	798
